Order ID,Customer ID,Product Category,Sales Amount,Quantity,Order Date,State
1001,CUST_501,Electronics,3866,5,21-10-2025,Karnataka
1002,CUST_216,Electronics,4486,4,01-02-2025,Rajasthan
1003,CUST_164,Clothing,235,3,07-08-2025,Delhi
1004,CUST_284,Clothing,3431,2,06-11-2025,Mumbai
1005,CUST_171,Electronics,3165,2,25-11-2025,Rajasthan
1006,CUST_200,Home Decor,1513,4,18-06-2025,Delhi
1007,CUST_233,Electronics,4571,3,06-08-2025,Karnataka
1008,CUST_263,Electronics,2299,1,24-07-2025,UP
1009,CUST_140,Home Decor,4747,3,07-08-2025,Karnataka
1010,CUST_265,Electronics,2849,4,20-09-2025,Mumbai
1011,CUST_160,Books,4267,4,14-11-2025,Delhi
1012,CUST_127,Electronics,100,1,23-03-2025,Mumbai
1013,CUST_159,Clothing,3074,1,26-08-2025,Karnataka
1014,CUST_105,Electronics,3134,2,16-12-2025,Rajasthan
1015,CUST_124,Home Decor,4582,3,24-02-2025,UP
1016,CUST_217,Books,3395,2,16-09-2025,Mumbai
1017,CUST_101,Books,1438,1,23-08-2025,UP
1018,CUST_225,Electronics,2141,5,21-10-2025,Rajasthan
1019,CUST_142,Home Decor,4938,2,30-03-2025,Karnataka
1020,CUST_210,Books,2168,4,27-03-2025,Karnataka
1021,CUST_157,Books,3446,2,07-10-2025,Rajasthan
1022,CUST_199,Clothing,1442,3,04-08-2025,UP
1023,CUST_235,Clothing,644,2,25-06-2025,UP
1024,CUST_237,Books,3992,5,28-08-2025,Mumbai
1025,CUST_204,Clothing,3621,3,08-05-2025,UP
1026,CUST_241,Electronics,4113,3,07-12-2025,Karnataka
1027,CUST_230,Home Decor,1954,3,22-12-2025,Delhi
1028,CUST_150,Electronics,1141,1,18-12-2025,Delhi
1029,CUST_105,Electronics,1001,1,14-04-2025,Delhi
1030,CUST_299,Electronics,4100,3,10-05-2025,UP
1031,CUST_263,Home Decor,1612,1,15-12-2025,UP
1032,CUST_290,Electronics,113,5,04-06-2025,Karnataka
1033,CUST_130,Electronics,3111,5,13-05-2025,Delhi
1034,CUST_139,Books,532,3,11-08-2025,Karnataka
1035,CUST_187,Electronics,4354,3,21-03-2025,Mumbai
1036,CUST_199,Home Decor,123,3,27-09-2025,Karnataka
1037,CUST_236,Clothing,2375,4,09-11-2025,Rajasthan
1038,CUST_112,Clothing,578,1,21-04-2025,Rajasthan
1039,CUST_177,Home Decor,1766,1,19-06-2025,Mumbai
1040,CUST_264,Electronics,1013,2,15-09-2025,UP
1041,CUST_194,Books,2792,1,03-11-2025,Mumbai
1042,CUST_109,Home Decor,4982,3,27-07-2025,Delhi
1043,CUST_281,Clothing,2980,5,20-10-2025,Rajasthan
1044,CUST_232,Home Decor,125,1,22-01-2025,UP
1045,CUST_221,Clothing,1765,4,20-10-2025,Karnataka
1046,CUST_164,Clothing,4574,4,01-12-2025,UP
1047,CUST_158,Home Decor,1875,3,21-10-2025,Rajasthan
1048,CUST_300,Home Decor,485,2,01-10-2025,UP
1049,CUST_104,Books,4583,2,14-03-2025,Rajasthan
1050,CUST_137,Clothing,4617,4,04-09-2025,Delhi
1051,CUST_102,Electronics,1894,5,08-02-2025,Karnataka
